    0.0315	      -53
     0.126	      -50
      0.22	      -43
     0.346	      -31
     0.441	      -25
     0.535	      -19
     0.661	      -18
      0.85	      -13
     0.945	     -7.4
       1.1	     -1.5
       1.2	      4.4
      1.45	       12
      1.61	       12
       1.8	       12
      2.02	       15
      2.27	       15
      2.46	       13
      2.65	       18
      2.87	       21
      2.96	       19
      3.12	       16
      3.37	       16
      3.43	       16
      3.78	       16
         4	       16
      4.25	       15
      4.44	       13
       4.6	       12
      4.79	       13
      5.01	       13
       5.2	       13
      5.42	       12
      5.57	       12
      5.86	       12
      6.02	       10
      6.33	      8.8
      6.58	      8.8
      6.77	      7.4
      6.93	      5.9
      7.24	      5.9
      7.53	      4.4
      7.78	      5.9
      8.06	      1.5
      8.25	      2.9
      8.41	      4.4
      8.69	      5.9
      9.01	      4.4
      9.23	      5.9
      9.35	      5.9
      9.61	      5.9
      9.92	 -1.1e-13
      10.1	 -1.1e-13
      10.4	      5.9
      10.6	      4.4
      10.8	 -1.1e-13
      11.1	 -1.1e-13
      11.4	      2.9
      11.6	     -1.5
      11.7	      5.9
      11.9	      7.4
      12.1	      8.8
      12.3	      7.4
      12.5	      7.4
      12.7	      5.9
      12.8	      5.9
      12.9	      5.9
      13.1	 -1.1e-13
      13.3	      8.8
      13.4	      8.8
      13.7	      8.8
      13.9	      4.4
        14	      2.9
      14.1	      7.4
      14.4	       10
      14.7	      7.4
      14.8	      5.9
        15	      4.4
      15.2	      4.4
      15.4	      2.9
      15.7	 -1.1e-13
      15.9	 -1.1e-13
      16.2	 -1.1e-13
      16.5	     -4.4
      16.5	     -4.4
      16.8	     -2.9
      17.1	     -7.4
      17.3	     -8.8
      17.5	     -5.9
      17.5	     -5.9
      17.9	     -7.4
      18.2	     -5.9
      18.4	     -2.9
      18.5	     -4.4
      18.7	     -7.4
        19	      -10
      19.2	     -7.4
      19.3	     -7.4
      19.7	     -5.9
      19.9	     -7.4
      20.2	     -7.4
      20.4	     -4.4
      20.6	     -2.9
      20.8	     -2.9
        21	     -2.9
      21.2	     -2.9
      21.4	     -2.9
      21.7	     -1.5
      21.9	      1.5
      22.1	 -1.1e-13
      22.4	 -1.1e-13
      22.6	      5.9
      22.9	      5.9
      23.1	      1.5
      23.3	 -1.1e-13
      23.4	 -1.1e-13
      23.7	 -1.1e-13
      23.8	      1.5
      24.1	      4.4
      24.4	 -1.1e-13
      24.7	 -1.1e-13
