         0	      -53
     0.153	      -49
     0.214	      -44
     0.276	      -38
     0.337	      -29
     0.429	      -22
      0.49	      -16
     0.704	     -5.9
     0.827	     -1.5
      0.98	      2.9
      1.26	      8.8
      1.44	       10
      1.59	       15
      1.78	       16
       1.9	       18
      2.05	       16
      2.17	       16
      2.39	       19
      2.51	       21
       2.7	       19
      2.82	       18
         3	       16
      3.09	       16
      3.28	       16
      3.43	       16
      3.64	       16
      3.77	       15
      3.92	       13
      4.04	       12
      4.29	       13
      4.44	       13
      4.59	       12
      4.69	       10
      4.81	      8.8
      4.96	      8.8
      5.05	       10
      5.14	       10
      5.27	       10
      5.39	       10
      5.51	      8.8
      5.67	      8.8
      5.79	       12
      5.97	       15
      6.13	       13
      6.19	       13
      6.34	       10
      6.55	      8.8
      6.71	      8.8
      6.86	      7.4
      7.04	      4.4
      7.17	      4.4
      7.32	      4.4
      7.53	      2.9
      7.66	      1.5
       7.9	     -1.5
      7.99	        0
      8.08	        0
      8.27	        0
      8.42	        0
      8.51	     -4.4
      8.67	     -7.4
      8.79	     -8.8
         9	     -2.9
       9.1	     -2.9
      9.25	     -8.8
      9.34	      -10
      9.52	     -7.4
      9.65	     -1.5
      9.83	      2.9
      9.95	      2.9
      10.1	     -1.5
      10.2	     -5.9
      10.3	     -7.4
      10.5	     -1.5
      10.7	        0
      10.8	      2.9
      10.9	      1.5
      11.1	        0
      11.2	      2.9
      11.3	      5.9
      11.4	      8.8
      11.6	      7.4
      11.7	      4.4
      11.9	      7.4
        12	       10
      12.1	       10
      12.2	       10
      12.3	      7.4
      12.4	      4.4
      12.5	      2.9
      12.6	      2.9
      12.7	      5.9
      12.9	      7.4
        13	      4.4
      13.1	      2.9
      13.3	      1.5
      13.4	      2.9
      13.6	      4.4
      13.8	      8.8
      13.9	      5.9
      14.1	      4.4
      14.2	      5.9
      14.4	       10
      14.5	       10
      14.5	      8.8
      14.7	      4.4
      14.8	      1.5
      14.9	        0
        15	      2.9
      15.1	      2.9
      15.3	      2.9
      15.3	        0
      15.4	        0
      15.5	      1.5
      15.6	      2.9
      15.8	      4.4
      15.8	      1.5
      15.9	     -1.5
      16.1	     -5.9
      16.2	     -5.9
      16.4	     -2.9
      16.5	        0
      16.6	     -2.9
      16.8	     -4.4
      16.9	     -5.9
        17	     -4.4
      17.1	     -1.5
      17.2	     -1.5
      17.4	     -1.5
      17.5	     -2.9
      17.6	     -2.9
      17.8	        0
      17.9	        0
      18.1	        0
      18.3	        0
      18.4	        0
      18.6	        0
      18.7	        0
      18.8	        0
      18.9	        0
        19	      1.5
      19.2	        0
      19.3	     -1.5
      19.4	     -1.5
      19.5	        0
      19.7	      4.4
      19.8	      4.4
      19.9	      2.9
      20.1	        0
      20.2	      1.5
      20.3	      2.9
      20.5	      4.4
      20.6	      5.9
      20.8	      5.9
      20.9	      4.4
        21	      4.4
      21.3	      4.4
      21.5	      2.9
      21.6	        0
      21.7	        0
      21.8	     -1.5
      21.9	        0
        22	      2.9
      22.2	      4.4
      22.3	      4.4
      22.4	        0
      22.5	      1.5
      22.7	        0
      22.9	        0
        23	        0
      23.1	        0
      23.2	        0
      23.4	        0
      23.6	      1.5
      23.7	      2.9
      23.9	      2.9
      24.1	        0
      24.2	        0
      24.3	      2.9
      24.5	      1.5
      24.6	      1.5
      24.8	      1.5
      24.9	        0
        25	     -1.5
      25.1	        0
      25.2	        0
